,No_x,년,회차_x,수계 명,중권역 명,분류코드,구_조사구간 명,학명,국명,개체 수,위도_x,경도_x,주소_x,조사기관_x,지점코드,운영여부,대권역,조사구간 명,수질기준위도,수질기준경도,No_y, 월,회차_y, 채수 일자, 수계 명, 중권역 명, 수심,음이온계면활성제(ABS),유량,안티몬(Sb),비소(As),바륨(Ba),벤젠,생물화학적산소요구량(BOD),사염화탄소,카드뮴(Cd),클로로포름,염소이온(Cl-),클로로필-a(Chlorophyll-a),시안(CN),화학적산소요구량(COD),색도,크롬(Cr),6가크롬(Cr6+),구리(Cu),"1,2,-다이클로로에탄",다이클로로메탄,다이에틸헥실프탈레이트(DEHP),"1,4-다이옥세인",용존산소(DO),용존총질소(DTN),용존총인(DTP),전기전도도(EC),분원성대장균군,용해성 철(Fe),불소(F),헥사클로로벤젠,포름알데히드,수은(Hg),용해성 망간(Mn),암모니아성 질소(NH3-N),노말헥산추출물질,니켈(Ni),질산성질소(NO3-N),유기인,납(Pb),폴리클로리네이티드비페닐(PCB),테트라클로로에틸렌(PCE),수소이온농도(pH),페놀류(phenols),인산염 인(PO4-P),셀레늄(Se),부유물질(SS),트리클로로에틸렌(TCE),총대장균군,수온,총질소(T-N),총유기탄소(TOC),총인(T-P),투명도,아연(Zn),위도_y,경도_y,조사기관_y,주소_y,생물기준명칭,횟수,중복시증권역명,Unnamed: 8,label,No,회차,위도,경도,조사기관,주소
0,1832.0,2012,2.0,한강,남한강상류,1001G038,정선1,Koreanomelania nodifila,염주알다슬기,4.0,37.381722,128.668028,"강원도 정선군 정선읍 봉양리
",원주지방환경청,"1001A45
",운영중	,한강,정선1,37.381722,128.668028,20583.0,6.0,1.0,2012.06.20,한강,남한강상류,,0,,,0,,,1.5,,0,,,7.4,0,2.3,,,0,,,,,,11.9,1.854,0.002,199.0,0,,,,,0,,0.032,,,1.429,,0,,,8.6,0,0,,3.5,,0.0,24.0,2.426,4.7,0.006,,,37.38172,128.668,원주지방환경청,강원도 정선군 정선읍 봉양리,,,,,1,,,,,,
1,1832.0,2012,2.0,한강,남한강상류,1001G038,정선1,Koreanomelania nodifila,염주알다슬기,4.0,37.381722,128.668028,"강원도 정선군 정선읍 봉양리
",원주지방환경청,"1001A45
",운영중	,한강,정선1,37.381722,128.668028,24626.0,7.0,1.0,2012.07.25,한강,남한강상류,,,,,,,,0.6,,,,,2.6,,3.1,,,,,,,,,10.5,2.807,0.016,156.0,6,,,,,,,0.01,,,2.681,,,,,8.5,,0.006,,1.9,,11.0,24.0,2.969,1.9,0.025,,,37.38172,128.668,원주지방환경청,강원도 정선군 정선읍 봉양리,,,,,1,,,,,,
2,1832.0,2012,2.0,한강,남한강상류,1001G038,정선1,Koreanomelania nodifila,염주알다슬기,4.0,37.381722,128.668028,"강원도 정선군 정선읍 봉양리
",원주지방환경청,"1001A45
",운영중	,한강,정선1,37.381722,128.668028,28995.0,8.0,1.0,2012.08.09,한강,남한강상류,,,,,,,,2.6,,,,,3,,3.0,,,,,,,,,10.8,3.249,0.022,209.0,0,,,,,,,0.084,,,2.618,,,,,9.2,정량한계미만,0.012,,2.5,,3.0,29.2,3.713,3.0,0.048,,,37.38172,128.668,원주지방환경청,강원도 정선군 정선읍 봉양리,,,,,1,,,,,,
3,1832.0,2012,2.0,한강,남한강상류,1001G038,정선1,Koreanomelania nodifila,염주알다슬기,4.0,37.381722,128.668028,"강원도 정선군 정선읍 봉양리
",원주지방환경청,"1001A45
",운영중	,한강,정선1,37.381722,128.668028,32753.0,9.0,1.0,2012.09.27,한강,남한강상류,,정량한계미만,,,0,,,0.4,,0,,,2.6,정량한계미만,1.5,,,0,,,,,,10.9,2.837,0.014,165.0,0,,,,,0,,0.044,,,2.695,,0,,,8.6,정량한계미만,0.003,,2,,24.0,17.3,2.932,1.4,0.014,,,37.38172,128.668,원주지방환경청,강원도 정선군 정선읍 봉양리,,,,,1,,,,,,
4,1832.0,2012,2.0,한강,남한강상류,1001G038,정선1,Koreanomelania nodifila,염주알다슬기,4.0,37.381722,128.668028,"강원도 정선군 정선읍 봉양리
",원주지방환경청,"1001A45
",운영중	,한강,정선1,37.381722,128.668028,36924.0,10.0,1.0,2012.10.22,한강,남한강상류,,,,,,,,1.6,,,,,0.5,,2.1,,,,,,,,,10.6,3.112,0.006,212.0,14,,,,,,,0.062,,,1.77,,,,,7.1,정량한계미만,정량한계미만,,2,,273.0,13.7,3.219,2.6,0.01,,,37.38172,128.668,원주지방환경청,강원도 정선군 정선읍 봉양리,,,,,1,,,,,,
5,1832.0,2012,2.0,한강,남한강상류,1001G038,정선1,Koreanomelania nodifila,염주알다슬기,4.0,37.381722,128.668028,"강원도 정선군 정선읍 봉양리
",원주지방환경청,"1001A45
",운영중	,한강,정선1,37.381722,128.668028,41015.0,11.0,1.0,2012.11.21,한강,남한강상류,,,,,,,,0.7,,,,,0.5,,2.6,,,,,,,,,14.7,3.108,0.005,148.0,0,,,,,,,0.028,,,2.818,,,,,8.2,정량한계미만,정량한계미만,,0.4,,193.0,4.2,3.507,1.9,0.006,,,37.38172,128.668,원주지방환경청,강원도 정선군 정선읍 봉양리,,,,,1,,,,,,
6,1832.0,2012,2.0,한강,남한강상류,1001G038,정선1,Koreanomelania nodifila,염주알다슬기,4.0,37.381722,128.668028,"강원도 정선군 정선읍 봉양리
",원주지방환경청,"1001A45
",운영중	,한강,정선1,37.381722,128.668028,45085.0,12.0,1.0,2012.12.26,한강,남한강상류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.38172,128.668,원주지방환경청,강원도 정선군 정선읍 봉양리,,,,,1,,,,,,
7,2804.0,2012,1.0,한강,남한강상류,1001G050,광하,Koreanomelania nodifila,염주알다슬기,4.0,37.367361,128.6195,강원도 정선군 정선읍 광하리,원주지방환경청,1001A60,	운영중,	한강,광하,37.367361,128.6195,20582.0,6.0,1.0,2012.06.20,한강,남한강상류,,0,,,0,,,1.6,,0,,,8.6,0,2.3,,,0,,,,,,10.9,2.078,0.001,213.0,0,,,,,0,,0.006,,,1.294,,0,,,8.5,0,0,,5.5,,0.0,25.0,2.43,2.8,0.007,,,37.36736,128.6195,원주지방환경청,강원도 정선군 정선읍 광하리,,,,,1,,,,,,
8,2804.0,2012,1.0,한강,남한강상류,1001G050,광하,Koreanomelania nodifila,염주알다슬기,4.0,37.367361,128.6195,강원도 정선군 정선읍 광하리,원주지방환경청,1001A60,	운영중,	한강,광하,37.367361,128.6195,24625.0,7.0,1.0,2012.07.25,한강,남한강상류,,,,,,,,0.8,,,,,3.7,,2.5,,,,,,,,,9.0,2.787,0.015,181.0,0,,,,,,,0.024,,,2.676,,,,,8.6,,0.005,,1.3,,2.0,24.0,2.913,2.5,0.023,,,37.36736,128.6195,원주지방환경청,강원도 정선군 정선읍 광하리,,,,,1,,,,,,
9,2804.0,2012,1.0,한강,남한강상류,1001G050,광하,Koreanomelania nodifila,염주알다슬기,4.0,37.367361,128.6195,강원도 정선군 정선읍 광하리,원주지방환경청,1001A60,	운영중,	한강,광하,37.367361,128.6195,28994.0,8.0,1.0,2012.08.09,한강,남한강상류,,,,,,,,2.4,,,,,2.6,,2.6,,,,,,,,,9.4,2.546,0.05,238.0,0,,,,,,,0.079,,,2.325,,,,,8.9,정량한계미만,0.003,,1.2,,5.0,27.8,2.699,2.7,0.065,,,37.36736,128.6195,원주지방환경청,강원도 정선군 정선읍 광하리,,,,,1,,,,,,
