No,년,회차,수계 명,중권역 명,분류코드,조사구간 명,학명,국명,개체 수
1832,2012,2,한강,남한강상류,1001G038,정선1,Koreanomelania nodifila,염주알다슬기,4
2804,2012,1,한강,남한강상류,1001G050,광하,Koreanomelania nodifila,염주알다슬기,4
2906,2014,1,한강,남한강상류,1001G050,광하,Koreanomelania nodifila,염주알다슬기,4
2931,2014,2,한강,남한강상류,1001G050,광하,Koreanomelania nodifila,염주알다슬기,4
7615,2011,2,한강,평창강,1002G080,평창강3,Koreanomelania nodifila,염주알다슬기,22
8105,2011,2,한강,평창강,1002G092,평창강3-1,Koreanomelania nodifila,염주알다슬기,11
8410,2011,2,한강,충주댐,1003G002,영월2,Koreanomelania nodifila,염주알다슬기,4
9961,2014,2,한강,충주댐,1003G034,어곡천2,Koreanomelania nodifila,염주알다슬기,4
10091,2014,2,한강,충주댐,1003G038,덕천,Koreanomelania nodifila,염주알다슬기,4
13331,2011,2,한강,달천,1004G030,의상천,Koreanomelania nodifila,염주알다슬기,7
102567,2011,1,금강,금강서해,3203G005,광천천,Koreanomelania nodifila,염주알다슬기,4
109763,2013,2,영산강,섬진강댐,4001G024,관촌-3,Koreanomelania nodifila,염주알다슬기,4
110556,2013,2,영산강,섬진강댐,4001G050,관촌2,Koreanomelania nodifila,염주알다슬기,4
112254,2013,2,영산강,섬진강댐하류,4002G040,문치천,Koreanomelania nodifila,염주알다슬기,7
112896,2013,2,영산강,섬진강댐하류,4002G070,동계-1,Koreanomelania nodifila,염주알다슬기,26
113783,2013,1,영산강,순창,4004G006,적성,Koreanomelania nodifila,염주알다슬기,22
114516,2012,2,영산강,순창,4004G054,옥과천3,Koreanomelania nodifila,염주알다슬기,11
114558,2013,2,영산강,순창,4004G054,옥과천3,Koreanomelania nodifila,염주알다슬기,4
115030,2011,2,영산강,순창,4004G084,남원,Koreanomelania nodifila,염주알다슬기,11
115555,2012,2,영산강,요천,4005G015,백운천(장수),Koreanomelania nodifila,염주알다슬기,48
116147,2013,1,영산강,요천,4005G057,광치천,Koreanomelania nodifila,염주알다슬기,7
116592,2012,2,영산강,요천,4005G081,요천-1,Koreanomelania nodifila,염주알다슬기,26
116635,2013,2,영산강,요천,4005G081,요천-1,Koreanomelania nodifila,염주알다슬기,4
116792,2013,1,영산강,섬진곡성,4006G015,고달,Koreanomelania nodifila,염주알다슬기,4
116997,2013,2,영산강,섬진곡성,4006G033,곡성천3,Koreanomelania nodifila,염주알다슬기,11
117216,2013,2,영산강,섬진곡성,4006G042,오곡천2,Koreanomelania nodifila,염주알다슬기,4
117377,2012,2,영산강,섬진곡성,4006G045,고달1,Koreanomelania nodifila,염주알다슬기,22
117432,2013,2,영산강,섬진곡성,4006G045,고달1,Koreanomelania nodifila,염주알다슬기,4
117461,2014,1,영산강,섬진곡성,4006G045,고달1,Koreanomelania nodifila,염주알다슬기,19
117548,2015,2,영산강,섬진곡성,4006G045,고달1,Koreanomelania nodifila,염주알다슬기,4
117626,2013,1,영산강,섬진곡성,4006G060,곡성1,Koreanomelania nodifila,염주알다슬기,4
117656,2013,2,영산강,섬진곡성,4006G060,곡성1,Koreanomelania nodifila,염주알다슬기,15
117976,2013,1,영산강,주암댐,4007G024,장평,Koreanomelania nodifila,염주알다슬기,7
118322,2012,2,영산강,주암댐,4007G042,보성강,Koreanomelania nodifila,염주알다슬기,15
118485,2012,2,영산강,주암댐,4007G044,보성강-1,Koreanomelania nodifila,염주알다슬기,4
119093,2013,2,영산강,주암댐,4007G066,길성천,Koreanomelania nodifila,염주알다슬기,7
119267,2012,2,영산강,주암댐,4007G080,동복천-3,Koreanomelania nodifila,염주알다슬기,144
119286,2013,1,영산강,주암댐,4007G080,동복천-3,Koreanomelania nodifila,염주알다슬기,11
119393,2013,1,영산강,주암댐,4007G090,구암천(화순),Koreanomelania nodifila,염주알다슬기,4
119407,2013,2,영산강,주암댐,4007G090,구암천(화순),Koreanomelania nodifila,염주알다슬기,4
120075,2013,2,영산강,보성강,4008G021,순천3,Koreanomelania nodifila,염주알다슬기,4
120288,2013,2,영산강,보성강,4008G042,목사동1,Koreanomelania nodifila,염주알다슬기,19
120631,2011,2,영산강,보성강,4008G069,보성천-2,Koreanomelania nodifila,염주알다슬기,52
121190,2011,2,영산강,섬진강하류,4009G026,계산1,Koreanomelania nodifila,염주알다슬기,4
121646,2013,2,영산강,섬진강하류,4009G038,서시천2,Koreanomelania nodifila,염주알다슬기,11
122045,2013,2,영산강,섬진강하류,4009G058,계산2,Koreanomelania nodifila,염주알다슬기,4
123363,2012,2,영산강,섬진강하류,4009G118,횡천강2,Koreanomelania nodifila,염주알다슬기,15
124283,2013,1,영산강,섬진강서남해,4101G040,수문천,Koreanomelania nodifila,염주알다슬기,255
128189,2013,1,영산강,영산강상류,5001G060,광주천1,Koreanomelania nodifila,염주알다슬기,255
1655,2019,2,한강,남한강상류,1001G050,광하,Koreanomelania nodifila,염주알다슬기,167
4053,2016,1,한강,평창강,1002G050,주천강1-1,Koreanomelania nodifila,염주알다슬기,4
5678,2019,2,한강,충주댐,1003G002,영월2,Koreanomelania nodifila,염주알다슬기,8
9312,2016,2,한강,달천,1004G020,달천-3,Koreanomelania nodifila,염주알다슬기,7
39032,2019,2,한강,한탄강,1022G018,문혜천,Koreanomelania nodifila,염주알다슬기,8
125401,2017,1,영산강,요천,4005G069,송내천,Koreanomelania nodifila,염주알다슬기,22
128161,2016,1,영산강,주암댐,4007G062,동복천-2,Koreanomelania nodifila,염주알다슬기,4
131612,2017,1,영산강,섬진강하류,4009G046,백연천,Koreanomelania nodifila,염주알다슬기,22
132071,2017,1,영산강,섬진강하류,4009G068,구례,Koreanomelania nodifila,염주알다슬기,4
304,2021,1,한강,평창강,1002G070,주천강1-3,Koreanomelania nodifila,염주알다슬기,4
